Year,Raw Material,Market Size
2015,Wood,1.4
2016,Wood,1.5
2017,Wood,1.6
2018,Wood,1.65
2019,Wood,1.7
2020,Wood,1.8
2021,Wood,1.9
2022,Wood,1.92
2015,Husk,0.8
2016,Husk,0.85
2017,Husk,0.9
2018,Husk,0.9
2019,Husk,0.9
2020,Husk,0.9
2021,Husk,0.9
2022,Husk,0.95
2015,Paper,1.6
2016,Paper,1.75
2017,Paper,1.8
2018,Paper,1.9
2019,Paper,2
2020,Paper,2.2
2021,Paper,2.3
2022,Paper,2.4
2015,Plastic,2
2016,Plastic,2.1
2017,Plastic,2.3
2018,Plastic,2.4
2019,Plastic,2.6
2020,Plastic,2.7
2021,Plastic,2.75
2022,Plastic,2.85
2015,Others,0.6
2016,Others,0.6
2017,Others,0.5
2018,Others,0.5
2019,Others,0.6
2020,Others,0.5
2021,Others,0.8
2022,Others,0.85
